,artist_name,track_name,song_no
3237,Dream Theater,The Gift Of Music,3301
3290,Muse,Cave,3354
3296,Radiohead,The National Anthem,3360
3297,Radiohead,Jigsaw Falling Into Place,3361
3298,Radiohead,Up on the Ladder,3362
3300,Tame Impala,Mind Mischief,3364
3309,Isis,So Did We,3373
3315,Madvillain,Eye,3379
3316,Thundercat,Them Changes,3380
3321,Vince Staples,Summertime,3385
3322,Anderson .Paak,Heart Don't Stand a Chance,3386
3324,Kendrick Lamar,XXX. FEAT. U2.,3388
3327,Explosions in the Sky,Your Hand in Mine,3392
3328,This Will Destroy You,The World Is Our ___,3393
3405,Amon Amarth,With Oden on Our Side,3470
3414,Judas Priest,Night Crawler,3479
3419,Parov Stelar,Catgroove,3484
3442,Fugazi,Blueprint,3508
3443,Grimes,Flesh Without Blood,3509
3457,Brand New,Handcuffs,3523
3458,Brand New,Millstone,3524
3461,Kate Bush,The Morning Fog,3527
3462,Rammstein,Te quiero puta!,3528
3464,blink-182,Dammit,3530
3471,Danny Brown,Golddust,3537
3473,Linkin Park,Runaway,3539
3478,Joy Division,Shadowplay,3544
3499,"Tyler, the Creator",Glitter,3565
3508,The Dillinger Escape Plan,Limerent Death,3574
3514,Radiohead,Desert Island Disk,3580
3535,The Weeknd,Can't Feel My Face,3603
3616,Rachel Platten,Stand By You,3693
3623,30 Seconds to Mars,Walk on Water,3704
3694,Kendrick Lamar,YAH.,3782
3696,Massive Attack,Ritual Spirit,3786
3697,Sufjan Stevens,The Only Thing,3787
3698,The Avalanches,Frankie Sinatra,3788
3705,NF,Let You Down,3795
3709,Kavinsky,Rampage,3799
3730,Prince,When Doves Cry,3820
3784,Rag'n'Bone Man,Human,3877
3843,The xx,Dangerous,3937
3845,Gorillaz,Fire Coming Out of the Monkey's Head,3939
3851,Depeche Mode,Precious,3945
3855,Mumford & Sons,Babel,3949
3859,BØRNS,"10,000 Emerald Pools",3953
3862,The National,Guilty Party,3956
3863,Mumford & Sons,Ditmas,3957
3864,Imagine Dragons,Shots,3958
3870,Panic! at the Disco,Victorious,3964
3871,Sia,Cheap Thrills,3965
3873,Hans Zimmer,Running Out,3967
3874,Johnny Cash,Hurt,3968
3876,Carbon Based Lifeforms,Interloper,3970
3883,System of a Down,Lonely Day,3978
3886,*NSYNC,Bye Bye Bye,3981
3887,Coolio,Gangsta's Paradise,3982
3921,Coldplay,Don't Panic,4016
3922,Coldplay,The Hardest Part,4017
3928,Martin Jensen,Solo Dance,4023
3937,Soundgarden,Mailman,4032
3944,Queen,I Want to Break Free,4039
3959,Oneohtrix Point Never,Sticky Drama,4054
3973,Radiohead,Decks Dark,4068
3975,65daysofstatic,Red Parallax,4070
3982,Kanye West,All Falls Down,4078
3987,Kendrick Lamar,untitled 05 | 09.21.2014.,4083
3991,King Gizzard & The Lizard Wizard,Nuclear Fusion,4087
4005,Rihanna,Bitch Better Have My Money,4101
4056,System of a Down,Suggestions,4155
4059,Weezer,Buddy Holly,4158
4065,Die Antwoord,Enter the Ninja,4164
4071,Blonde Redhead,For the Damaged Coda,4170
4079,Daft Punk,Revolution 909,4178
4087,Pink Floyd,The Happiest Days of Our Lives,4186
4107,Björk,I Miss You,4206
4113,Deee-Lite,Groove Is in the Heart,4213
4115,Radiohead,Treefingers,4215
4116,Radiohead,Bodysnatchers,4216
4117,Sigur Rós,Ný batterí,4217
4121,Julia Holter,Betsy on the Roof,4221
4128,Feist,Mushaboom,4228
4130,The Weeknd,Wicked Games,4231
4135,Run the Jewels,Sea Legs,4236
4141,Nine Inch Nails,Hurt,4242
4149,Bicep,Glue,4250
4205,Steven Wilson,Permanating,4307
4222,Tame Impala,Past Life,4324
4224,Tame Impala,The Less I Know the Better,4326
4225,PUP,"If This Tour Doesn't Kill You, I Will",4327
4231,CHVRCHES,Bury It,4333
4241,Disclosure,Help Me Lose My Mind (feat. London Grammar),4343
4247,Mac DeMarco,ONE ANOTHER,4349
4257,Future Islands,Ran,4359
4258,Preoccupations,Anxiety,4360
4269,Pitbull,Time of Our Lives,4371
4270,Mike Posner,I Took A Pill In Ibiza,4372
4271,Alessia Cara,Wild Things,4373
4279,Van Halen,Jump (2015 Remastered Version),4381
4298,Lorde,Green Light,4402
4299,Jay Som,The Bus Song,4403
4300,Moderat,Ethereal,4404
4308,Tim Hecker,Up Red Bull Creek,4414
4309,Frank Ocean,Ivy,4415
4310,Frank Ocean,Nikes,4416
4315,Nicolas Jaar,Three Sides of Nazareth,4421
4320,The War on Drugs,Up All Night,4426
4322,Japanese Breakfast,The Woman That Loves You,4428
4323,Everything Everything,Distant Past,4429
4352,Solange,Don't You Wait,4462
4354,Bon Iver,33 “GOD”,4464
4368,Angel Olsen,Give It Up,4478
4377,Nicolas Jaar,Leaves,4489
4390,Susanne Sundfør,Kamikaze,4503
4411,Rihanna,Needed Me,4524
4412,Rihanna,Sex With Me,4525
4423,The Weeknd,The Hills,4537
4433,Anderson .Paak,The Bird,4547
4436,Run the Jewels,Oh Mama,4550
4505,Avril Lavigne,Keep Holding On,4626
4506,Britney Spears,If U Seek Amy,4627
4508,The Black Keys,Everlasting Light,4629
4512,Sia,Reaper,4633
4513,Eurythmics,Here Comes The Rain Again,4634
4514,The Killers,Run For Cover,4635
4519,Lukas Graham,7 Years,4640
4524,Limp Bizkit,Take a Look Around,4645
4538,Fall Out Boy,My Songs Know What You Did in the Dark (Light Em Up),4661
4548,Gorillaz,Slow Country,4671
4559,Parov Stelar,All Night,4682
4564,Bon Iver,29 #Strafford APTS,4687
4567,Guns N' Roses,Rocket Queen,4691
4576,Ulver,1969,4702
4579,BROCKHAMPTON,JESUS,4705
4580,BROCKHAMPTON,Sweet,4706
4588,Bon Iver,22 (OVER S∞∞N),4714
4589,Pink Floyd,Remember a Day,4715
4622,Daft Punk,Digital Love,4749
4624,Arcade Fire,Rebellion (Lies),4751
4627,Sufjan Stevens,"Out of Egypt, Into the Great Laugh of Mankind, and I Shake the Dirt From My Sandals as I Run",4754
4637,Metallica,"Damage, Inc.",4764
4651,Taylor Swift,All Too Well,4778
4653,Muse,Feeling Good,4780
4679,Tycho,Montana,4806
4708,My Chemical Romance,Sleep,4835
4712,Tame Impala,Yes I'm Changing,4839
4713,Foo Fighters,Arrows,4840
4735,Siouxsie and the Banshees,Happy House,4862
4746,The Kills,Doing It To Death,4873
4750,Mount Eerie,Ravens,4879
4755,Kendrick Lamar,How Much a Dollar Cost (feat. James Fauntleroy & Ronald Isley),4885
4756,Perfume Genius,Otherside,4886
4757,The Avalanches,If I Was A Folkstar,4887
4833,Neutral Milk Hotel,The King of Carrot Flowers Pt. One,4969
4848,Madeon,Home,4984
4849,Madeon,Zephyr,4985
4852,CHVRCHES,Never Ending Circles,4988
4861,Purity Ring,Stranger Than Earth,4997
4862,Purity Ring,Push Pull,4998
4894,Sia,Bird Set Free,5030
4925,In Flames,In My Room,5063
4926,Insomnium,"Winter's Gate, Pt. 1",5064
4927,Katatonia,Takeover,5065
4963,Coldplay,Amazing day,5102
4964,Jessie J,Bang Bang,5103
4970,Rachel Platten,Fight Song,5109
4971,Imagine Dragons,Gold,5110
4975,DIIV,Under The Sun,5114
4977,Kaleo,Way Down We Go,5116
4985,Japandroids,Near To The Wild Heart Of Life,5124
4986,Royal Blood,I Only Lie When I Love You,5125
4988,The Wombats,Greek Tragedy,5127
4991,The National,WALK IT BACK,5130
5003,Disturbed,The Sound of Silence,5143
5029,Perturbator,Disco Inferno,5169
5031,The Prodigy,Nasty,5171
5083,Weezer,California Kids,5223
5089,Mastodon,Precious Stones,5229
5091,Brand New,Out of Mana,5231
5100,Ariel Pink,Another Weekend,5240
5109,Death Grips,On GP,5249
5116,Grizzly Bear,Three Rings,5256
5120,Local Natives,Past Lives,5260
5122,The Avalanches,Subways,5262
5128,Animal Collective,Kinda Bonkers,5268
5130,Broken Social Scene,Stay Happy,5270
5137,King Gizzard & The Lizard Wizard,Wah Wah,5278
5150,Crystal Castles,Concrete,5292
5151,Crystal Castles,Frail,5293
5152,Crystal Castles,Love and Caring,5295
5153,Crystal Castles,Doe Deer,5298
5154,Crystal Castles,Transgender,5299
5161,Marina & the Diamonds,Sex Yeah,5307
5183,Linkin Park,Pushing Me Away,5329
5185,Linkin Park,Given Up,5331
5186,Linkin Park,Numb,5332
5191,Calvin Harris,Blame (feat. John Newman),5337
5193,Martin Garrix,Don't Look Down (feat. Usher),5339
5199,LCD Soundsystem,Drunk Girls,5345
5200,Vampire Weekend,Ya Hey,5346
5202,Kygo & Selena Gomez,It Ain't Me,5348
5203,"DJ Snake, AlunaGeorge",You Know You Like It,5349
5205,Muse,Supermassive Black Hole,5351
5220,Air,Le Voyage de Pénélope,5366
5222,MGMT,Kids,5368
5223,Muse,Micro Cuts,5369
5232,R.E.M.,Imitation of Life,5378
5235,Ratatat,Wildcat,5381
5238,Gorillaz,Intro,5384
5239,Gorillaz,White Light,5385
5241,Lou Reed,Walk on the Wild Side,5387
5246,Aerosmith,Back in the Saddle,5392
5248,DJ Shadow,The Number Song,5394
5253,Radiohead,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,5399
5254,Radiohead,I Might Be Wrong,5400
5255,Rammstein,Adios,5401
5257,The Shins,New Slang,5403
5259,Nick Drake,Three Hours,5405
5260,Nick Drake,Which Will,5406
5262,Pink Floyd,Money,5408
5265,Sigur Rós,Ágætis byrjun,5411
5271,Iron Maiden,Phantom of the Opera,5417
5277,Royal Blood,Out of the Black,5424
5279,The Antlers,Bear,5426
